instance,arm,seed,cmax,fes,iters,N,D,wall_seconds
ta01,stock,0,1457,225304,574,40,225,4.429
ta01,stock,1,1474,225257,575,40,225,4.419
ta01,stock,2,1643,225194,575,40,225,4.494
ta01,stock,3,1415,225301,574,40,225,4.366
ta01,stock,4,1469,225179,576,40,225,4.571
ta01,stock,5,1433,225020,573,40,225,4.436
ta01,stock,6,1440,225155,576,40,225,4.474
ta01,stock,7,1464,225191,574,40,225,4.467
ta01,stock,8,1443,225088,576,40,225,1.34
ta01,stock,9,1404,225099,575,40,225,1.29
ta01,stock,10,1504,225206,574,40,225,1.321
ta01,stock,11,1382,225397,575,40,225,1.354
ta01,stock,12,1525,225310,575,40,225,1.447
ta01,stock,13,1462,225106,574,40,225,1.421
ta01,stock,14,1435,225313,575,40,225,1.383
ta01,stock,15,1471,225400,573,40,225,1.382
ta01,stock,16,1396,225055,574,40,225,1.22
ta01,stock,17,1475,225098,573,40,225,1.214
ta01,stock,18,1450,225321,574,40,225,1.287
ta01,stock,19,1464,225289,575,40,225,1.259
ta01,mwkr1,0,1420,225118,573,40,225,1.231
ta01,mwkr1,1,1434,225362,575,40,225,1.261
ta01,mwkr1,2,1454,225191,575,40,225,1.36
ta01,mwkr1,3,1429,225330,574,40,225,1.39
ta01,mwkr1,4,1371,225171,576,40,225,1.409
ta01,mwkr1,5,1403,225043,573,40,225,1.263
ta01,mwkr1,6,1372,225028,575,40,225,1.294
ta01,mwkr1,7,1382,225255,574,40,225,1.325
ta01,mwkr1,8,1381,225099,576,40,225,1.199
ta01,mwkr1,9,1471,225007,575,40,225,1.235
ta01,mwkr1,10,1379,225215,574,40,225,1.295
ta01,mwkr1,11,1364,225367,575,40,225,1.292
ta01,mwkr1,12,1432,225311,575,40,225,1.285
ta01,mwkr1,13,1380,225122,574,40,225,1.271
ta01,mwkr1,14,1368,225128,575,40,225,1.3
ta01,mwkr1,15,1409,225007,572,40,225,1.261
ta01,mwkr1,16,1420,225100,574,40,225,1.082
ta01,mwkr1,17,1384,225129,573,40,225,1.129
ta01,mwkr1,18,1348,225082,574,40,225,1.078
ta01,mwkr1,19,1456,225190,575,40,225,1.057
ta11,stock,0,1715,300312,765,40,300,2.701
ta11,stock,1,1724,300067,765,40,300,2.72
ta11,stock,2,1647,300150,764,40,300,2.49
ta11,stock,3,1624,300344,764,40,300,2.58
ta11,stock,4,1666,300280,767,40,300,2.583
ta11,stock,5,1670,300408,768,40,300,2.54
ta11,stock,6,1769,300321,768,40,300,2.667
ta11,stock,7,1682,300339,766,40,300,2.725
ta11,stock,8,1592,300348,767,40,300,2.721
ta11,stock,9,1686,300057,765,40,300,2.616
ta11,stock,10,1654,300216,767,40,300,2.594
ta11,stock,11,1685,300068,766,40,300,2.951
ta11,stock,12,1618,300279,766,40,300,2.574
ta11,stock,13,1647,300272,764,40,300,2.745
ta11,stock,14,1594,300324,768,40,300,2.819
ta11,stock,15,1703,300095,768,40,300,2.828
ta11,stock,16,1756,300129,765,40,300,2.481
ta11,stock,17,1687,300124,765,40,300,2.436
ta11,stock,18,1700,300011,764,40,300,2.396
ta11,stock,19,1599,300248,766,40,300,2.308
ta11,mwkr1,0,1532,300339,765,40,300,2.227
ta11,mwkr1,1,1622,300069,765,40,300,2.214
ta11,mwkr1,2,1607,300145,764,40,300,2.158
ta11,mwkr1,3,1652,300288,764,40,300,2.213
ta11,mwkr1,4,1551,300337,767,40,300,2.079
ta11,mwkr1,5,1575,300403,768,40,300,2.115
ta11,mwkr1,6,1591,300242,768,40,300,2.196
ta11,mwkr1,7,1598,300325,766,40,300,2.199
ta11,mwkr1,8,1642,300364,767,40,300,2.095
ta11,mwkr1,9,1632,300058,765,40,300,2.175
ta11,mwkr1,10,1600,300188,767,40,300,2.158
ta11,mwkr1,11,1667,300045,766,40,300,2.173
ta11,mwkr1,12,1619,300305,766,40,300,2.082
ta11,mwkr1,13,1577,300308,764,40,300,2.246
ta11,mwkr1,14,1571,300296,768,40,300,2.279
ta11,mwkr1,15,1677,300094,768,40,300,2.282
ta11,mwkr1,16,1552,300050,765,40,300,1.967
ta11,mwkr1,17,1635,300152,765,40,300,2.101
ta11,mwkr1,18,1634,300017,764,40,300,2.08
ta11,mwkr1,19,1607,300252,766,40,300,2.03
ta21,stock,0,1969,400184,1022,40,400,4.635
ta21,stock,1,1936,400028,1019,40,400,4.806
ta21,stock,2,1941,400384,1020,40,400,4.816
ta21,stock,3,2190,400042,1021,40,400,4.746
ta21,stock,4,1989,400234,1020,40,400,4.595
ta21,stock,5,1977,400001,1018,40,400,4.714
ta21,stock,6,2114,400283,1020,40,400,4.493
ta21,stock,7,1977,400173,1021,40,400,4.766
ta21,stock,8,2069,400248,1021,40,400,4.677
ta21,stock,9,2061,400047,1021,40,400,4.531
ta21,stock,10,2044,400362,1020,40,400,4.422
ta21,stock,11,2089,400230,1023,40,400,4.841
ta21,stock,12,2003,400323,1020,40,400,4.813
ta21,stock,13,2045,400357,1020,40,400,4.371
ta21,stock,14,2021,400094,1022,40,400,4.625
ta21,stock,15,2150,400174,1020,40,400,4.858
ta21,stock,16,1989,400194,1021,40,400,4.328
ta21,stock,17,2058,400103,1019,40,400,4.465
ta21,stock,18,2048,400049,1021,40,400,4.408
ta21,stock,19,1992,400036,1020,40,400,4.355
ta21,mwkr1,0,1956,400243,1022,40,400,4.222
ta21,mwkr1,1,1954,400048,1019,40,400,4.008
ta21,mwkr1,2,1987,400367,1020,40,400,4.128
ta21,mwkr1,3,1994,400016,1021,40,400,4.177
ta21,mwkr1,4,2046,400344,1020,40,400,4.082
ta21,mwkr1,5,2085,400042,1018,40,400,4.182
ta21,mwkr1,6,2062,400300,1020,40,400,4.01
ta21,mwkr1,7,1930,400237,1021,40,400,4.102
ta21,mwkr1,8,1954,400323,1021,40,400,4.143
ta21,mwkr1,9,1925,400020,1021,40,400,4.222
ta21,mwkr1,10,1917,400133,1020,40,400,4.022
ta21,mwkr1,11,1998,400261,1023,40,400,4.173
ta21,mwkr1,12,1914,400266,1020,40,400,4.175
ta21,mwkr1,13,1915,400019,1019,40,400,4.287
ta21,mwkr1,14,1977,400080,1022,40,400,4.261
ta21,mwkr1,15,1924,400135,1020,40,400,4.06
ta21,mwkr1,16,2023,400283,1021,40,400,3.763
ta21,mwkr1,17,1938,400174,1019,40,400,3.887
ta21,mwkr1,18,1931,400056,1021,40,400,3.774
ta21,mwkr1,19,1999,400028,1020,40,400,3.744
ta31,stock,0,2174,450031,1145,40,450,6.098
ta31,stock,1,2042,450254,1147,40,450,6.367
ta31,stock,2,2049,450081,1150,40,450,5.861
ta31,stock,3,2216,450073,1148,40,450,6.381
ta31,stock,4,2104,450336,1147,40,450,6.225
ta31,stock,5,2028,450380,1147,40,450,5.914
ta31,stock,6,2225,450017,1150,40,450,6.2
ta31,stock,7,2219,450289,1149,40,450,6.01
ta31,stock,8,2196,450343,1148,40,450,6.359
ta31,stock,9,2184,450354,1145,40,450,6.595
ta31,stock,10,2172,450046,1150,40,450,6.102
ta31,stock,11,2128,450179,1151,40,450,6.351
ta31,stock,12,2071,450131,1151,40,450,6.37
ta31,stock,13,2296,450149,1148,40,450,5.986
ta31,stock,14,2140,450051,1146,40,450,6.218
ta31,stock,15,2176,450018,1149,40,450,5.946
ta31,stock,16,2048,450156,1147,40,450,5.774
ta31,stock,17,2167,450188,1149,40,450,5.357
ta31,stock,18,2208,450139,1149,40,450,5.613
ta31,stock,19,2112,450409,1150,40,450,5.83
ta31,mwkr1,0,2120,450098,1145,40,450,5.37
ta31,mwkr1,1,2127,450288,1147,40,450,5.543
ta31,mwkr1,2,2101,450104,1150,40,450,5.509
ta31,mwkr1,3,2145,450099,1148,40,450,5.569
ta31,mwkr1,4,2128,450221,1147,40,450,5.488
ta31,mwkr1,5,2155,450291,1147,40,450,5.39
ta31,mwkr1,6,2139,450132,1150,40,450,5.341
ta31,mwkr1,7,2083,450303,1149,40,450,5.534
ta31,mwkr1,8,2181,450250,1148,40,450,6.018
ta31,mwkr1,9,2188,450004,1144,40,450,5.34
ta31,mwkr1,10,2147,450060,1150,40,450,5.337
ta31,mwkr1,11,2191,450286,1151,40,450,5.576
ta31,mwkr1,12,2079,450126,1151,40,450,5.617
ta31,mwkr1,13,2154,450391,1149,40,450,5.602
ta31,mwkr1,14,2206,450002,1146,40,450,5.563
ta31,mwkr1,15,2093,450266,1150,40,450,5.569
ta31,mwkr1,16,2115,450265,1147,40,450,5.901
ta31,mwkr1,17,2230,450167,1149,40,450,5.11
ta31,mwkr1,18,2024,450269,1149,40,450,4.976
ta31,mwkr1,19,2241,450017,1149,40,450,5.577
ta41,stock,0,2505,600162,1529,40,600,11.815
ta41,stock,1,2467,600342,1537,40,600,12.519
ta41,stock,2,2663,600213,1534,40,600,12.61
ta41,stock,3,2505,600311,1530,40,600,12.257
ta41,stock,4,2522,600315,1529,40,600,12.831
ta41,stock,5,2476,600186,1531,40,600,12.6
ta41,stock,6,2532,600313,1528,40,600,12.072
ta41,stock,7,2699,600340,1535,40,600,12.278
ta41,stock,8,2583,600017,1526,40,600,12.338
ta41,stock,9,2654,600271,1531,40,600,12.882
ta41,stock,10,2498,600047,1530,40,600,11.668
ta41,stock,11,2579,600136,1527,40,600,12.361
ta41,stock,12,2634,600342,1526,40,600,12.278
ta41,stock,13,2635,600273,1531,40,600,11.547
ta41,stock,14,2545,600321,1531,40,600,12.152
ta41,stock,15,2567,600121,1532,40,600,12.479
ta41,stock,16,2576,600104,1531,40,600,11.301
ta41,stock,17,2666,600070,1529,40,600,11.436
ta41,stock,18,2519,600054,1534,40,600,11.274
ta41,stock,19,2675,600031,1532,40,600,10.661
ta41,mwkr1,0,2491,600099,1529,40,600,10.382
