instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim,config,n_setting,sampler,pre_local_search_cmax,local_search_evals,local_search_moves,seeded_with_mwkr
ta01,15,15,225,DTSA,0,1382,225160,225000,938,5.587,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:33,1.0,225120,,,,,,DTSA-core,N=40,C1,1382,0,0,True
ta01,15,15,225,DTSA,1,1369,225160,225000,938,5.675,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:33,1.0,225120,,,,,,DTSA-core,N=40,C1,1369,0,0,True
ta01,15,15,225,DTSA,2,1452,225160,225000,938,5.639,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:33,1.0,225120,,,,,,DTSA-core,N=40,C1,1452,0,0,True
ta01,15,15,225,DTSA,3,1374,225160,225000,938,5.564,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:33,1.0,225120,,,,,,DTSA-core,N=40,C1,1374,0,0,True
ta01,15,15,225,DTSA,4,1394,225160,225000,938,5.688,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:33,1.0,225120,,,,,,DTSA-core,N=40,C1,1394,0,0,True
ta01,15,15,225,DTSA,5,1419,225160,225000,938,5.99,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:34,1.0,225120,,,,,,DTSA-core,N=40,C1,1419,0,0,True
ta01,15,15,225,DTSA,6,1424,225160,225000,938,5.743,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:33,1.0,225120,,,,,,DTSA-core,N=40,C1,1424,0,0,True
ta01,15,15,225,DTSA,7,1425,225160,225000,938,5.836,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:34,1.0,225120,,,,,,DTSA-core,N=40,C1,1425,0,0,True
ta01,15,15,225,DTSA,8,1464,225160,225000,938,6.018,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:34,1.0,225120,,,,,,DTSA-core,N=40,C1,1464,0,0,True
ta01,15,15,225,DTSA,9,1431,225160,225000,938,6.102,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:49:34,1.0,225120,,,,,,DTSA-core,N=40,C1,1431,0,0,True
