u12_nn,f6_best_update,seed,pre_2opt,post_2opt,two_opt_moves,fes,iterations,nn_seed_length
city_0,deferred,0,8009.0,8009.0,0,104260,334,8980.0
city_0,deferred,1,7767.0,7762.0,1,104260,334,8980.0
city_0,deferred,2,7865.0,7839.0,2,104260,334,8980.0
city_0,deferred,3,8247.0,8168.0,1,104260,334,8980.0
city_0,deferred,4,7881.0,7881.0,0,104260,334,8980.0
city_0,deferred,5,7833.0,7749.0,3,104260,334,8980.0
city_0,deferred,6,7989.0,7977.0,1,104260,334,8980.0
city_0,deferred,7,7982.0,7982.0,0,104260,334,8980.0
city_0,deferred,8,8163.0,8148.0,1,104260,334,8980.0
city_0,deferred,9,8147.0,8147.0,0,104260,334,8980.0
city_0,deferred,10,7884.0,7800.0,3,104260,334,8980.0
city_0,deferred,11,8041.0,7989.0,3,104260,334,8980.0
city_0,deferred,12,8027.0,7988.0,1,104260,334,8980.0
city_0,deferred,13,8033.0,8033.0,0,104260,334,8980.0
city_0,deferred,14,7874.0,7807.0,1,104260,334,8980.0
city_0,deferred,15,7909.0,7837.0,2,104260,334,8980.0
city_0,deferred,16,7876.0,7800.0,1,104260,334,8980.0
city_0,deferred,17,7991.0,7991.0,0,104260,334,8980.0
city_0,deferred,18,7754.0,7749.0,1,104260,334,8980.0
city_0,deferred,19,7904.0,7837.0,1,104260,334,8980.0
city_0,deferred,20,8053.0,8024.0,2,104260,334,8980.0
city_0,deferred,21,8108.0,8103.0,1,104260,334,8980.0
city_0,deferred,22,7926.0,7800.0,2,104260,334,8980.0
city_0,deferred,23,8006.0,7991.0,1,104260,334,8980.0
city_0,deferred,24,8054.0,8051.0,1,104260,334,8980.0
city_0,deferred,25,8103.0,8103.0,0,104260,334,8980.0
city_0,deferred,26,8033.0,8033.0,0,104260,334,8980.0
city_0,deferred,27,8073.0,7972.0,2,104260,334,8980.0
city_0,deferred,28,8077.0,8072.0,1,104260,334,8980.0
city_0,deferred,29,7852.0,7837.0,1,104260,334,8980.0
city_0,immediate,0,8009.0,8009.0,0,104260,334,8980.0
city_0,immediate,1,7767.0,7762.0,1,104260,334,8980.0
city_0,immediate,2,7865.0,7839.0,2,104260,334,8980.0
city_0,immediate,3,8247.0,8168.0,1,104260,334,8980.0
city_0,immediate,4,7881.0,7881.0,0,104260,334,8980.0
city_0,immediate,5,7833.0,7749.0,3,104260,334,8980.0
city_0,immediate,6,7989.0,7977.0,1,104260,334,8980.0
city_0,immediate,7,7982.0,7982.0,0,104260,334,8980.0
city_0,immediate,8,8163.0,8148.0,1,104260,334,8980.0
city_0,immediate,9,8147.0,8147.0,0,104260,334,8980.0
city_0,immediate,10,7884.0,7800.0,3,104260,334,8980.0
city_0,immediate,11,8041.0,7989.0,3,104260,334,8980.0
city_0,immediate,12,8027.0,7988.0,1,104260,334,8980.0
city_0,immediate,13,8033.0,8033.0,0,104260,334,8980.0
city_0,immediate,14,7874.0,7807.0,1,104260,334,8980.0
city_0,immediate,15,7909.0,7837.0,2,104260,334,8980.0
city_0,immediate,16,7876.0,7800.0,1,104260,334,8980.0
city_0,immediate,17,7991.0,7991.0,0,104260,334,8980.0
city_0,immediate,18,7754.0,7749.0,1,104260,334,8980.0
city_0,immediate,19,7904.0,7837.0,1,104260,334,8980.0
city_0,immediate,20,8053.0,8024.0,2,104260,334,8980.0
city_0,immediate,21,8108.0,8103.0,1,104260,334,8980.0
city_0,immediate,22,7926.0,7800.0,2,104260,334,8980.0
city_0,immediate,23,8006.0,7991.0,1,104260,334,8980.0
city_0,immediate,24,8054.0,8051.0,1,104260,334,8980.0
city_0,immediate,25,8103.0,8103.0,0,104260,334,8980.0
city_0,immediate,26,8033.0,8033.0,0,104260,334,8980.0
city_0,immediate,27,8073.0,7972.0,2,104260,334,8980.0
city_0,immediate,28,8077.0,8072.0,1,104260,334,8980.0
city_0,immediate,29,7852.0,7837.0,1,104260,334,8980.0
best_of_52,deferred,0,7798.0,7798.0,0,104260,334,8181.0
best_of_52,deferred,1,7817.0,7817.0,0,104260,334,8181.0
best_of_52,deferred,2,7644.0,7542.0,1,104260,334,8181.0
best_of_52,deferred,3,7678.0,7678.0,0,104260,334,8181.0
best_of_52,deferred,4,7711.0,7711.0,0,104260,334,8181.0
best_of_52,deferred,5,7657.0,7657.0,0,104260,334,8181.0
best_of_52,deferred,6,7711.0,7711.0,0,104260,334,8181.0
best_of_52,deferred,7,7798.0,7798.0,0,104260,334,8181.0
best_of_52,deferred,8,7804.0,7804.0,0,104260,334,8181.0
best_of_52,deferred,9,7615.0,7542.0,2,104260,334,8181.0
best_of_52,deferred,10,7721.0,7542.0,3,104260,334,8181.0
best_of_52,deferred,11,7635.0,7627.0,1,104260,334,8181.0
best_of_52,deferred,12,7805.0,7805.0,0,104260,334,8181.0
best_of_52,deferred,13,7596.0,7596.0,0,104260,334,8181.0
best_of_52,deferred,14,7596.0,7596.0,0,104260,334,8181.0
best_of_52,deferred,15,7822.0,7809.0,2,104260,334,8181.0
best_of_52,deferred,16,7662.0,7657.0,1,104260,334,8181.0
best_of_52,deferred,17,7735.0,7711.0,2,104260,334,8181.0
best_of_52,deferred,18,7851.0,7851.0,0,104260,334,8181.0
best_of_52,deferred,19,7547.0,7542.0,1,104260,334,8181.0
best_of_52,deferred,20,7751.0,7711.0,2,104260,334,8181.0
best_of_52,deferred,21,7542.0,7542.0,0,104260,334,8181.0
best_of_52,deferred,22,7860.0,7860.0,0,104260,334,8181.0
best_of_52,deferred,23,7851.0,7851.0,0,104260,334,8181.0
best_of_52,deferred,24,7720.0,7711.0,1,104260,334,8181.0
