instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim,config,n_setting,sampler,pre_local_search_cmax,local_search_evals,local_search_moves,seeded_with_mwkr
ta01,15,15,225,DTSA,0,1388,225160,225000,938,5.203,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:23,1.0,225120,,,,,,DTSA-core,N=40,C3,1388,0,0,True
ta01,15,15,225,DTSA,1,1362,225160,225000,938,5.211,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:23,1.0,225120,,,,,,DTSA-core,N=40,C3,1362,0,0,True
ta01,15,15,225,DTSA,2,1363,225160,225000,938,5.092,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:23,1.0,225120,,,,,,DTSA-core,N=40,C3,1363,0,0,True
ta01,15,15,225,DTSA,3,1418,225160,225000,938,5.374,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:23,1.0,225120,,,,,,DTSA-core,N=40,C3,1418,0,0,True
ta01,15,15,225,DTSA,4,1435,225160,225000,938,5.19,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:23,1.0,225120,,,,,,DTSA-core,N=40,C3,1435,0,0,True
ta01,15,15,225,DTSA,5,1384,225160,225000,938,5.242,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:23,1.0,225120,,,,,,DTSA-core,N=40,C3,1384,0,0,True
ta01,15,15,225,DTSA,6,1416,225160,225000,938,5.406,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:23,1.0,225120,,,,,,DTSA-core,N=40,C3,1416,0,0,True
ta01,15,15,225,DTSA,7,1398,225160,225000,938,5.275,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:23,1.0,225120,,,,,,DTSA-core,N=40,C3,1398,0,0,True
ta01,15,15,225,DTSA,8,1416,225160,225000,938,4.34,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:27,1.0,225120,,,,,,DTSA-core,N=40,C3,1416,0,0,True
ta01,15,15,225,DTSA,9,1363,225160,225000,938,4.339,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:27,1.0,225120,,,,,,DTSA-core,N=40,C3,1363,0,0,True
ta01,15,15,225,DTSA,10,1423,225160,225000,938,4.307,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:27,1.0,225120,,,,,,DTSA-core,N=40,C3,1423,0,0,True
ta01,15,15,225,DTSA,11,1431,225160,225000,938,4.366,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:27,1.0,225120,,,,,,DTSA-core,N=40,C3,1431,0,0,True
ta01,15,15,225,DTSA,12,1374,225160,225000,938,4.443,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:27,1.0,225120,,,,,,DTSA-core,N=40,C3,1374,0,0,True
ta01,15,15,225,DTSA,13,1420,225160,225000,938,4.281,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:27,1.0,225120,,,,,,DTSA-core,N=40,C3,1420,0,0,True
ta01,15,15,225,DTSA,14,1431,225160,225000,938,4.396,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:27,1.0,225120,,,,,,DTSA-core,N=40,C3,1431,0,0,True
ta01,15,15,225,DTSA,15,1423,225160,225000,938,4.39,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:27,1.0,225120,,,,,,DTSA-core,N=40,C3,1423,0,0,True
ta01,15,15,225,DTSA,16,1416,225160,225000,938,3.841,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:31,1.0,225120,,,,,,DTSA-core,N=40,C3,1416,0,0,True
ta01,15,15,225,DTSA,17,1431,225160,225000,938,3.856,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:31,1.0,225120,,,,,,DTSA-core,N=40,C3,1431,0,0,True
ta01,15,15,225,DTSA,18,1416,225160,225000,938,3.82,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:31,1.0,225120,,,,,,DTSA-core,N=40,C3,1416,0,0,True
ta01,15,15,225,DTSA,19,1378,225160,225000,938,3.821,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:31,1.0,225120,,,,,,DTSA-core,N=40,C3,1378,0,0,True
ta11,20,15,300,DTSA,0,1558,300040,300000,1250,6.122,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:37,1.0,300000,,,,,,DTSA-core,N=40,C3,1558,0,0,True
