source,sampler,seed,pre_2opt,post_2opt,fes,iterations,two_opt_evals,two_opt_moves,N,max_fes,instance,nn_best_start,ablation_split_random
current,C1,0,7798.0,7798.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,1,7817.0,7817.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,2,7644.0,7542.0,104260,334,2458,1,52,104000,berlin52,True,True
current,C1,3,7678.0,7678.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,4,7711.0,7711.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,5,7657.0,7657.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,6,7711.0,7711.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,7,7798.0,7798.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,8,7804.0,7804.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,9,7615.0,7542.0,104260,334,2142,2,52,104000,berlin52,True,True
current,C1,10,7721.0,7542.0,104260,334,4703,3,52,104000,berlin52,True,True
current,C1,11,7635.0,7627.0,104260,334,1421,1,52,104000,berlin52,True,True
current,C1,12,7805.0,7805.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,13,7596.0,7596.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,14,7596.0,7596.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,15,7822.0,7809.0,104260,334,2421,2,52,104000,berlin52,True,True
current,C1,16,7662.0,7657.0,104260,334,2396,1,52,104000,berlin52,True,True
current,C1,17,7735.0,7711.0,104260,334,3656,2,52,104000,berlin52,True,True
current,C1,18,7851.0,7851.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,19,7547.0,7542.0,104260,334,1559,1,52,104000,berlin52,True,True
current,C1,20,7751.0,7711.0,104260,334,3678,2,52,104000,berlin52,True,True
current,C1,21,7542.0,7542.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,22,7860.0,7860.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,23,7851.0,7851.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,24,7720.0,7711.0,104260,334,2536,1,52,104000,berlin52,True,True
current,C1,25,7542.0,7542.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,26,7711.0,7711.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,27,7596.0,7596.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,28,7596.0,7596.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C1,29,7605.0,7542.0,104260,334,4752,3,52,104000,berlin52,True,True
current,C2,0,7884.0,7657.0,104260,334,6795,7,52,104000,berlin52,True,True
current,C2,1,7829.0,7657.0,104260,334,8489,6,52,104000,berlin52,True,True
current,C2,2,7719.0,7719.0,104260,334,1274,0,52,104000,berlin52,True,True
current,C2,3,7815.0,7719.0,104260,334,4844,3,52,104000,berlin52,True,True
current,C2,4,7619.0,7542.0,104260,334,4747,4,52,104000,berlin52,True,True
current,C2,5,7844.0,7792.0,104260,334,4892,4,52,104000,berlin52,True,True
current,C2,6,7818.0,7711.0,104260,334,2562,4,52,104000,berlin52,True,True
current,C2,7,7800.0,7711.0,104260,334,7222,5,52,104000,berlin52,True,True
current,C2,8,7800.0,7657.0,104260,334,5200,6,52,104000,berlin52,True,True
current,C2,9,7899.0,7678.0,104260,334,3919,6,52,104000,berlin52,True,True
current,C2,10,7746.0,7657.0,104260,334,5992,4,52,104000,berlin52,True,True
current,C2,11,7769.0,7657.0,104260,334,4820,3,52,104000,berlin52,True,True
current,C2,12,7863.0,7741.0,104260,334,4167,4,52,104000,berlin52,True,True
current,C2,13,7917.0,7804.0,104260,334,5681,6,52,104000,berlin52,True,True
current,C2,14,7852.0,7657.0,104260,334,8479,6,52,104000,berlin52,True,True
current,C2,15,7727.0,7542.0,104260,334,9674,7,52,104000,berlin52,True,True
current,C2,16,7835.0,7711.0,104260,334,6459,5,52,104000,berlin52,True,True
current,C2,17,7730.0,7657.0,104260,334,1652,2,52,104000,berlin52,True,True
current,C2,18,7892.0,7783.0,104260,334,5973,5,52,104000,berlin52,True,True
current,C2,19,7698.0,7596.0,104260,334,2105,2,52,104000,berlin52,True,True
current,C2,20,7878.0,7542.0,104260,334,3374,5,52,104000,berlin52,True,True
current,C2,21,7835.0,7719.0,104260,334,6339,5,52,104000,berlin52,True,True
current,C2,22,7832.0,7711.0,104260,334,6673,5,52,104000,berlin52,True,True
current,C2,23,7887.0,7815.0,104260,334,4264,5,52,104000,berlin52,True,True
current,C2,24,7844.0,7657.0,104260,334,1854,4,52,104000,berlin52,True,True
current,C2,25,7804.0,7657.0,104260,334,3205,7,52,104000,berlin52,True,True
current,C2,26,7753.0,7657.0,104260,334,6240,5,52,104000,berlin52,True,True
current,C2,27,7893.0,7851.0,104260,334,4202,3,52,104000,berlin52,True,True
current,C2,28,7970.0,7835.0,104260,334,4012,6,52,104000,berlin52,True,True
current,C2,29,7891.0,7657.0,104260,334,2979,6,52,104000,berlin52,True,True
current,C3,0,7706.0,7657.0,104260,334,1708,2,52,104000,berlin52,True,True
current,C3,1,7864.0,7816.0,104260,334,2728,2,52,104000,berlin52,True,True
current,C3,2,7928.0,7823.0,104260,334,5541,6,52,104000,berlin52,True,True
current,C3,3,7783.0,7669.0,104260,334,3957,4,52,104000,berlin52,True,True
current,C3,4,7819.0,7745.0,104260,334,3305,5,52,104000,berlin52,True,True
current,C3,5,7797.0,7711.0,104260,334,5227,4,52,104000,berlin52,True,True
current,C3,6,7844.0,7618.0,104260,334,4019,6,52,104000,berlin52,True,True
current,C3,7,7689.0,7657.0,104260,334,5285,4,52,104000,berlin52,True,True
current,C3,8,7861.0,7808.0,104260,334,5297,7,52,104000,berlin52,True,True
current,C3,9,7707.0,7542.0,104260,334,5552,5,52,104000,berlin52,True,True
current,C3,10,7824.0,7623.0,104260,334,3911,3,52,104000,berlin52,True,True
