instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim,config,n_setting,sampler,pre_local_search_cmax,local_search_evals,local_search_moves,seeded_with_mwkr
ta01,15,15,225,DTSA,0,1388,225160,225000,938,6.991,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:36,1.0,225120,,,,,,DTSA-core,N=40,C3,1388,0,0,True
ta01,15,15,225,DTSA,0,1388,225160,225000,938,6.991,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:36,1.0,225120,,,,,,DTSA+LS,N=40,C3,1388,8,0,True
ta01,15,15,225,DTSA,1,1362,225160,225000,938,7.059,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:36,1.0,225120,,,,,,DTSA-core,N=40,C3,1362,0,0,True
ta01,15,15,225,DTSA,1,1362,225160,225000,938,7.059,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:36,1.0,225120,,,,,,DTSA+LS,N=40,C3,1362,5,0,True
ta01,15,15,225,DTSA,2,1363,225160,225000,938,7.099,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:37,1.0,225120,,,,,,DTSA-core,N=40,C3,1363,0,0,True
ta01,15,15,225,DTSA,2,1363,225160,225000,938,7.099,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:37,1.0,225120,,,,,,DTSA+LS,N=40,C3,1363,4,0,True
ta01,15,15,225,DTSA,3,1418,225160,225000,938,6.918,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:36,1.0,225120,,,,,,DTSA-core,N=40,C3,1418,0,0,True
ta01,15,15,225,DTSA,3,1418,225160,225000,938,6.918,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:36,1.0,225120,,,,,,DTSA+LS,N=40,C3,1418,6,0,True
ta01,15,15,225,DTSA,4,1435,225160,225000,938,6.888,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:36,1.0,225120,,,,,,DTSA-core,N=40,C3,1435,0,0,True
ta01,15,15,225,DTSA,4,1435,225160,225000,938,6.888,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:36,1.0,225120,,,,,,DTSA+LS,N=40,C3,1435,6,0,True
ta01,15,15,225,DTSA,5,1384,225160,225000,938,6.993,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:36,1.0,225120,,,,,,DTSA-core,N=40,C3,1384,0,0,True
ta01,15,15,225,DTSA,5,1384,225160,225000,938,6.993,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:36,1.0,225120,,,,,,DTSA+LS,N=40,C3,1384,5,0,True
ta01,15,15,225,DTSA,6,1416,225160,225000,938,11.587,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:48,1.0,225120,,,,,,DTSA-core,N=40,C3,1416,0,0,True
ta01,15,15,225,DTSA,6,1416,225160,225000,938,11.587,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:48,1.0,225120,,,,,,DTSA+LS,N=40,C3,1416,3,0,True
ta01,15,15,225,DTSA,7,1398,225160,225000,938,11.625,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:48,1.0,225120,,,,,,DTSA-core,N=40,C3,1398,0,0,True
ta01,15,15,225,DTSA,7,1398,225160,225000,938,11.625,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:48,1.0,225120,,,,,,DTSA+LS,N=40,C3,1398,4,0,True
ta01,15,15,225,DTSA,8,1416,225160,225000,938,11.653,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:48,1.0,225120,,,,,,DTSA-core,N=40,C3,1416,0,0,True
ta01,15,15,225,DTSA,8,1416,225160,225000,938,11.653,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:48,1.0,225120,,,,,,DTSA+LS,N=40,C3,1416,8,0,True
ta01,15,15,225,DTSA,9,1363,225160,225000,938,11.673,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:48,1.0,225120,,,,,,DTSA-core,N=40,C3,1363,0,0,True
ta01,15,15,225,DTSA,9,1363,225160,225000,938,11.673,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:48,1.0,225120,,,,,,DTSA+LS,N=40,C3,1363,4,0,True
ta01,15,15,225,DTSA,10,1423,225160,225000,938,11.55,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T10:07:48,1.0,225120,,,,,,DTSA-core,N=40,C3,1423,0,0,True
