instance,n,m,D,runs,mean,med,min,max,std,algorithm,N_setting,N,sampler,max_fes,seeds
ta01,15,15,225,20,1404.3,1416.0,1362,1435,25.43,DTSA-core,N=40,40,C3,225000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta02,15,15,225,20,1387.95,1394.0,1320,1437,32.53,DTSA-core,N=40,40,C3,225000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta03,15,15,225,20,1372.7,1376.0,1296,1462,38.31,DTSA-core,N=40,40,C3,225000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta04,15,15,225,20,1370.2,1358.0,1311,1471,47.71,DTSA-core,N=40,40,C3,225000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta05,15,15,225,20,1385.8,1392.0,1342,1450,30.69,DTSA-core,N=40,40,C3,225000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta11,20,15,300,20,1594.85,1596.0,1530,1649,35.39,DTSA-core,N=40,40,C3,300000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta12,20,15,300,20,1561.85,1553.5,1496,1642,42.62,DTSA-core,N=40,40,C3,300000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta13,20,15,300,20,1594.05,1593.0,1533,1668,33.23,DTSA-core,N=40,40,C3,300000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta14,20,15,300,20,1546.6,1539.0,1458,1652,51.19,DTSA-core,N=40,40,C3,300000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta15,20,15,300,20,1591.6,1590.0,1523,1672,38.17,DTSA-core,N=40,40,C3,300000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta21,20,20,400,20,1950.75,1948.5,1868,2036,43.34,DTSA-core,N=40,40,C3,400000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta22,20,20,400,20,1857.2,1857.0,1801,1971,40.01,DTSA-core,N=40,40,C3,400000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta23,20,20,400,20,1797.3,1791.0,1738,1922,42.16,DTSA-core,N=40,40,C3,400000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta24,20,20,400,20,1893.2,1890.5,1820,1963,43.47,DTSA-core,N=40,40,C3,400000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta25,20,20,400,20,1872.1,1862.0,1801,2026,55.28,DTSA-core,N=40,40,C3,400000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta31,30,15,450,20,2103.15,2093.5,2041,2201,45.37,DTSA-core,N=40,40,C3,450000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta32,30,15,450,20,2175.7,2170.5,2097,2292,50.33,DTSA-core,N=40,40,C3,450000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta33,30,15,450,20,2198.9,2191.0,2097,2278,44.93,DTSA-core,N=40,40,C3,450000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta34,30,15,450,20,2149.2,2154.0,2066,2245,42.21,DTSA-core,N=40,40,C3,450000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta35,30,15,450,20,2308.4,2313.0,2204,2450,63.24,DTSA-core,N=40,40,C3,450000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta41,30,20,600,20,2499.05,2493.5,2402,2627,54.79,DTSA-core,N=40,40,C3,600000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta42,30,20,600,20,2414.95,2413.5,2348,2508,44.95,DTSA-core,N=40,40,C3,600000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta43,30,20,600,20,2253.65,2255.0,2165,2349,51.91,DTSA-core,N=40,40,C3,600000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta44,30,20,600,20,2428.05,2433.5,2367,2523,33.16,DTSA-core,N=40,40,C3,600000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta45,30,20,600,20,2391.35,2387.0,2312,2492,51.66,DTSA-core,N=40,40,C3,600000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta51,50,15,750,20,3271.85,3274.0,3164,3365,60.9,DTSA-core,N=40,40,C3,750000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta52,50,15,750,20,3220.15,3222.5,3114,3375,70.59,DTSA-core,N=40,40,C3,750000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta53,50,15,750,20,2947.25,2932.0,2898,2998,31.25,DTSA-core,N=40,40,C3,750000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta54,50,15,750,20,3083.95,3080.5,2993,3199,50.78,DTSA-core,N=40,40,C3,750000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta55,50,15,750,20,3179.75,3174.5,3071,3297,69.17,DTSA-core,N=40,40,C3,750000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta61,50,20,1000,20,3314.25,3305.0,3241,3442,54.73,DTSA-core,N=40,40,C3,1000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta62,50,20,1000,20,3402.05,3392.5,3316,3534,51.72,DTSA-core,N=40,40,C3,1000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta63,50,20,1000,20,3160.6,3161.5,3049,3227,41.14,DTSA-core,N=40,40,C3,1000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta64,50,20,1000,20,3209.05,3192.5,3136,3315,58.59,DTSA-core,N=40,40,C3,1000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta65,50,20,1000,20,3291.05,3289.5,3172,3422,61.5,DTSA-core,N=40,40,C3,1000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta71,100,20,2000,20,6234.25,6225.5,6039,6405,89.53,DTSA-core,N=40,40,C3,2000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta72,100,20,2000,20,5657.15,5668.5,5481,5816,75.9,DTSA-core,N=40,40,C3,2000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta73,100,20,2000,20,6248.8,6236.0,6047,6476,91.59,DTSA-core,N=40,40,C3,2000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta74,100,20,2000,20,5822.2,5808.5,5744,5966,55.07,DTSA-core,N=40,40,C3,2000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta75,100,20,2000,20,6088.1,6081.0,5960,6271,64.31,DTSA-core,N=40,40,C3,2000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta01,15,15,225,20,1396.8,1390.5,1333,1437,30.85,DTSA-core,N=D,225,C3,225000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta02,15,15,225,20,1416.55,1424.5,1371,1463,30.32,DTSA-core,N=D,225,C3,225000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta03,15,15,225,20,1385.95,1379.5,1298,1497,43.98,DTSA-core,N=D,225,C3,225000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta04,15,15,225,20,1374.5,1360.5,1300,1480,45.94,DTSA-core,N=D,225,C3,225000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta05,15,15,225,20,1374.25,1374.0,1320,1417,28.63,DTSA-core,N=D,225,C3,225000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta11,20,15,300,20,1593.35,1590.5,1551,1632,25.04,DTSA-core,N=D,300,C3,300000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta12,20,15,300,20,1569.05,1561.5,1526,1624,29.02,DTSA-core,N=D,300,C3,300000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta13,20,15,300,20,1584.95,1585.5,1512,1675,44.36,DTSA-core,N=D,300,C3,300000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta14,20,15,300,20,1556.3,1555.5,1486,1678,44.08,DTSA-core,N=D,300,C3,300000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta15,20,15,300,20,1590.6,1597.5,1533,1661,39.01,DTSA-core,N=D,300,C3,300000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta21,20,20,400,20,1928.4,1915.5,1871,2027,41.72,DTSA-core,N=D,400,C3,400000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta22,20,20,400,20,1838.6,1834.5,1796,1884,28.84,DTSA-core,N=D,400,C3,400000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta23,20,20,400,20,1804.55,1806.0,1728,1867,35.25,DTSA-core,N=D,400,C3,400000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta24,20,20,400,20,1892.55,1889.0,1801,1966,48.25,DTSA-core,N=D,400,C3,400000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta25,20,20,400,20,1884.5,1876.5,1801,2071,72.06,DTSA-core,N=D,400,C3,400000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta31,30,15,450,20,2114.5,2109.5,1983,2266,58.22,DTSA-core,N=D,450,C3,450000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta32,30,15,450,20,2155.05,2146.0,2069,2248,43.13,DTSA-core,N=D,450,C3,450000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta33,30,15,450,20,2169.1,2163.0,2125,2220,29.79,DTSA-core,N=D,450,C3,450000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta34,30,15,450,20,2137.7,2125.5,2076,2245,49.34,DTSA-core,N=D,450,C3,450000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta35,30,15,450,20,2312.1,2302.5,2236,2406,50.81,DTSA-core,N=D,450,C3,450000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta41,30,20,600,20,2479.1,2475.5,2431,2586,37.75,DTSA-core,N=D,600,C3,600000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta42,30,20,600,20,2402.8,2403.5,2296,2455,40.71,DTSA-core,N=D,600,C3,600000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta43,30,20,600,20,2248.1,2248.0,2190,2313,33.74,DTSA-core,N=D,600,C3,600000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta44,30,20,600,20,2391.55,2393.5,2314,2436,34.89,DTSA-core,N=D,600,C3,600000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta45,30,20,600,20,2364.45,2362.0,2291,2471,46.17,DTSA-core,N=D,600,C3,600000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta51,50,15,750,20,3287.0,3285.0,3180,3503,71.22,DTSA-core,N=D,750,C3,750000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta52,50,15,750,20,3252.75,3247.0,3141,3519,84.32,DTSA-core,N=D,750,C3,750000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta53,50,15,750,20,2976.4,2973.0,2932,3047,28.41,DTSA-core,N=D,750,C3,750000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta54,50,15,750,20,3117.4,3113.5,3000,3208,55.78,DTSA-core,N=D,750,C3,750000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta55,50,15,750,20,3190.8,3194.0,3076,3317,57.12,DTSA-core,N=D,750,C3,750000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta61,50,20,1000,20,3355.65,3348.5,3287,3467,44.83,DTSA-core,N=D,1000,C3,1000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta62,50,20,1000,20,3410.7,3397.0,3348,3495,42.14,DTSA-core,N=D,1000,C3,1000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta63,50,20,1000,20,3181.25,3178.0,3128,3289,39.57,DTSA-core,N=D,1000,C3,1000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta64,50,20,1000,20,3253.45,3252.5,3144,3330,44.86,DTSA-core,N=D,1000,C3,1000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta65,50,20,1000,20,3331.4,3328.0,3249,3447,49.17,DTSA-core,N=D,1000,C3,1000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta71,100,20,2000,20,6279.0,6274.0,6192,6399,50.88,DTSA-core,N=D,2000,C3,2000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
ta72,100,20,2000,20,5770.55,5787.5,5650,5872,63.31,DTSA-core,N=D,2000,C3,2000000,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
