config,operator,source,NS,sampler,seed,pre_2opt,post_2opt,fes,iterations,two_opt_evals,two_opt_moves,wall_seconds,N,ST,max_fes,instance,rounded,git_sha
swap(current tree)|NS=6|-,swap,current,6,-,0,8631.0,7941.0,104260,334,9990,8,1.605,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,1,8823.0,7941.0,104260,334,13531,12,1.6,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,2,8805.0,7941.0,104260,334,11150,10,1.61,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,3,8614.0,7941.0,104260,334,8806,7,1.62,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,4,8844.0,7967.0,104260,334,5089,11,1.625,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,5,8747.0,7941.0,104260,334,12359,10,1.553,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,6,8771.0,7967.0,104260,334,7155,12,1.657,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,7,8746.0,7941.0,104260,334,11162,9,1.717,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,8,8614.0,7941.0,104260,334,8806,7,1.586,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,9,8836.0,7941.0,104260,334,13491,12,1.591,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,10,8790.0,7941.0,104260,334,11100,9,1.554,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,11,8775.0,7941.0,104260,334,12369,11,1.585,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,12,8923.0,7967.0,104260,334,5374,12,1.498,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,13,8760.0,7941.0,104260,334,12319,10,1.555,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,14,8831.0,7941.0,104260,334,13775,12,1.589,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,15,8520.0,7991.0,104260,334,7678,6,1.618,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,16,8614.0,7941.0,104260,334,8806,7,1.491,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,17,8746.0,7941.0,104260,334,11162,9,1.566,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,18,8666.0,7941.0,104260,334,10285,10,1.546,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,19,8614.0,7941.0,104260,334,8806,7,1.517,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,20,8614.0,7941.0,104260,334,8806,7,1.571,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,21,8614.0,7941.0,104260,334,8806,7,1.504,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,22,8826.0,7941.0,104260,334,13403,11,1.582,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,23,8597.0,7992.0,104260,334,12251,10,1.635,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,24,8747.0,7941.0,104260,334,12359,10,1.498,52,0.5,104000,berlin52,True,06f6700
swap(current tree)|NS=6|-,swap,current,6,-,25,8840.0,7941.0,104260,334,12256,11,1.515,52,0.5,104000,berlin52,True,06f6700
