row,operator,source,NS,sampler,ours_pre,ours_post,pre_std,post_std,runs_2opt_improved,two_opt_evals,published_pre,published_post,n,dev_pct,our_2opt_gain_pct,paper_2opt_gain_pct
shift(best tree),shift,best,1,-,8264.266666666666,8041.466666666666,55.41127317976245,72.28236458421269,30,4353.533333333334,7891.37,7758.43,30,4.725372991846365,2.6959439837372163,1.6846251031189716
shift(best tree),shift,best,6,-,8257.966666666667,8070.166666666667,42.005322596509075,59.41443185492634,30,3819.6666666666665,7891.37,7758.43,30,4.645538945286652,2.2741675715168,1.6846251031189716
shift(current tree),shift,current,1,-,8470.366666666667,8057.0,122.69768941795813,84.09067355724017,30,7171.333333333333,7816.73,7678.57,30,8.362021800249813,4.880150800240841,1.7674910096677237
shift(current tree),shift,current,6,-,8473.8,8033.433333333333,152.30128941877234,76.76506179665114,30,7440.833333333333,7816.73,7678.57,30,8.405944685309583,5.196802693793409,1.7674910096677237
shift(random tree),shift,random,1,-,8224.8,8013.566666666667,41.20880388025594,57.516224597534595,30,3909.766666666667,7903.13,7740.23,30,4.070159544383038,2.568248873326193,2.0612086603662165
shift(random tree),shift,random,6,-,8253.866666666667,8018.033333333334,56.82382534146079,81.03191509749594,30,4420.9,7903.13,7740.23,30,4.437946315784591,2.857246704574822,2.0612086603662165
swap(best tree),swap,best,1,-,8599.6,7941.0,37.34055759331015,0.0,30,8658.133333333333,8133.0,7863.0,30,5.737120373785816,7.658495743988096,3.3198081888601996
swap(best tree),swap,best,6,-,8604.166666666666,7944.4,30.091909020627195,12.939114716825598,30,8848.1,8133.0,7863.0,30,5.793270215992451,7.667990314769973,3.3198081888601996
swap(current tree),swap,current,1,-,8722.633333333333,7948.733333333334,86.31996745602507,15.2991623239997,30,9996.866666666667,8133.0,7863.0,30,7.2498872904627225,8.87232066768827,3.3198081888601996
swap(current tree),swap,current,6,-,8718.0,7948.466666666666,100.28923688254235,16.061805913265125,30,10371.366666666667,8133.0,7863.0,30,7.192917742530431,8.826948076776024,3.3198081888601996
swap(random tree),swap,random,1,-,8435.366666666667,7989.7,122.26948285153412,69.47544840470248,30,7121.466666666666,8059.17,7858.0,30,4.667933132899129,5.283311138421174,2.4961627562143507
swap(random tree),swap,random,6,-,8438.166666666666,7997.233333333334,116.41367479021064,62.29445280741064,30,7305.333333333333,8059.17,7858.0,30,4.7026761647497946,5.225463667068271,2.4961627562143507
symmetry(best tree),symmetry,best,1,C1,8044.5,8023.9,131.33210075855465,127.6566920865597,11,1686.1666666666667,7737.9,7551.03,30,3.962315356879779,0.25607557958854327,2.4149963168301465
symmetry(best tree),symmetry,best,1,C2,8056.466666666666,8056.1,98.83693757844321,99.06610471522691,1,1311.4,7737.9,7551.03,30,4.116965412665796,0.004551209380446496,2.4149963168301465
symmetry(best tree),symmetry,best,1,C3,8164.833333333333,8059.333333333333,46.37335987123556,41.605978792288575,27,1875.3333333333333,7737.9,7551.03,30,5.517431516733654,1.292126803976403,2.4149963168301465
symmetry(best tree),symmetry,best,1,C4,8198.766666666666,8105.533333333334,83.6650478388979,81.05797556254936,18,2603.0666666666666,7737.9,7551.03,30,5.955965658210456,1.1371629066160276,2.4149963168301465
symmetry(best tree),symmetry,best,6,C1,8031.633333333333,7994.266666666666,126.252206080646,93.25232116306185,10,1684.9333333333334,7737.9,7551.03,30,3.796034238402326,0.4652436822730137,2.4149963168301465
symmetry(best tree),symmetry,best,6,C2,8022.9,8022.9,104.95067807111201,104.95067807111201,0,1274.0,7737.9,7551.03,30,3.683169852285504,0.0,2.4149963168301465
symmetry(best tree),symmetry,best,6,C3,8162.166666666667,8055.066666666667,60.14126091434915,54.78291536685457,27,1842.7666666666667,7737.9,7551.03,30,5.482969108759061,1.312151593735328,2.4149963168301465
symmetry(best tree),symmetry,best,6,C4,8153.333333333333,8044.9,94.3753815551394,59.90414757386769,20,2527.5333333333333,7737.9,7551.03,30,5.368812382343187,1.3299264104660677,2.4149963168301465
symmetry(current tree),symmetry,current,1,C1,8629.766666666666,8019.7,137.31456042877298,103.43252006451637,30,9039.666666666666,7683.73,7542.0,30,12.31220600758573,7.069329800342226,1.8445468541971095
symmetry(current tree),symmetry,current,1,C2,8673.533333333333,8069.166666666667,131.00716835700075,91.45569243169577,30,7982.166666666667,7683.73,7542.0,30,12.881807837252653,6.967940785377731,1.8445468541971095
symmetry(current tree),symmetry,current,1,C3,8704.466666666667,8030.066666666667,134.01717165665966,80.88729209825541,30,7121.633333333333,7683.73,7542.0,30,13.2843900900561,7.747746367765214,1.8445468541971095
symmetry(current tree),symmetry,current,1,C4,8294.266666666666,8077.633333333333,127.2922061523266,79.8850395269971,29,5317.433333333333,7683.73,7542.0,30,7.945837069582962,2.61184432620123,1.8445468541971095
symmetry(current tree),symmetry,current,6,C1,8578.833333333334,8020.666666666667,133.18850611415155,97.56353662183913,30,9040.6,7683.73,7542.0,30,11.649333505124911,6.506323703689317,1.8445468541971095
symmetry(current tree),symmetry,current,6,C2,8676.666666666666,8019.9,155.7467735500941,97.82861509310293,30,8690.533333333333,7683.73,7542.0,30,12.92258664303231,7.569343065693429,1.8445468541971095
symmetry(current tree),symmetry,current,6,C3,8673.966666666667,8000.4,158.36001831996234,109.22914856645053,30,7124.166666666667,7683.73,7542.0,30,12.887447459328577,7.765382235732219,1.8445468541971095
symmetry(current tree),symmetry,current,6,C4,8304.133333333333,8080.8,128.57729014188266,91.35433100353539,30,4609.3,7683.73,7542.0,30,8.074246926080612,2.689423740787716,1.8445468541971095
symmetry(random tree),symmetry,random,1,C1,7986.8,7975.966666666666,132.56498731591603,131.07946611419197,12,1714.2666666666667,7697.0,7542.0,30,3.7651032869949357,0.1356404734478632,2.013771599324412
symmetry(random tree),symmetry,random,1,C2,8197.633333333333,7920.933333333333,97.32862333116714,107.04395917286647,30,7520.333333333333,7697.0,7542.0,30,6.504265731237277,3.3753644344505918,2.013771599324412
symmetry(random tree),symmetry,random,1,C3,8300.4,8072.033333333334,61.82154517864958,63.37163693495765,30,6263.466666666666,7697.0,7542.0,30,7.839417955047416,2.751273031018576,2.013771599324412
symmetry(random tree),symmetry,random,1,C4,8092.9,8061.3,87.49673885548444,65.38435434493084,14,1879.3,7697.0,7542.0,30,5.1435624269195745,0.3904657168629225,2.013771599324412
symmetry(random tree),symmetry,random,6,C1,8007.066666666667,7981.433333333333,137.63468221028614,136.49925687137187,13,1684.9333333333334,7697.0,7542.0,30,4.028409336971114,0.3201338817377968,2.013771599324412
symmetry(random tree),symmetry,random,6,C2,8196.6,7927.7,126.58038198492031,134.34416687156096,30,7498.233333333334,7697.0,7542.0,30,6.490840587241788,3.2806285533025954,2.013771599324412
symmetry(random tree),symmetry,random,6,C3,8258.366666666667,8044.066666666667,61.59796421475491,58.91837330276257,30,5959.2,7697.0,7542.0,30,7.293317742843533,2.5949441172790446,2.013771599324412
symmetry(random tree),symmetry,random,6,C4,8070.1,8057.366666666667,72.27120855642929,70.88041572489071,6,1467.7333333333333,7697.0,7542.0,30,4.8473431206963795,0.1577840836338283,2.013771599324412
