instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim
ta01,15,15,225,ATSA,0,1472,225164,225000,572,2.754,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.4014,160646,16070,64478,0,0,80098
ta01,15,15,225,ATSA,1,1452,225148,225000,576,2.609,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.3998,160813,16312,64295,0,0,80206
ta01,15,15,225,ATSA,2,1546,225210,225000,578,2.722,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.3998,160863,15938,64307,0,0,80618
ta01,15,15,225,ATSA,3,1393,225164,225000,575,2.673,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.4001,160796,16009,64328,0,0,80459
ta01,15,15,225,ATSA,4,1572,225283,225000,576,2.741,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.3986,161050,16262,64193,0,0,80595
ta01,15,15,225,ATSA,5,1431,225290,225000,575,2.728,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.3996,160943,16042,64307,0,0,80594
ta01,15,15,225,ATSA,6,1448,225345,225000,574,2.748,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.4003,160893,16107,64412,0,0,80374
ta01,15,15,225,ATSA,7,1465,225363,225000,573,2.722,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.3997,160985,16290,64338,0,0,80357
ta01,15,15,225,ATSA,8,1390,225199,225000,574,2.643,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.399,160940,16049,64219,0,0,80672
ta01,15,15,225,ATSA,9,1446,225116,225000,573,2.695,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.4014,160603,15941,64473,0,0,80189
ta01,15,15,225,ATSA,10,1417,225276,225000,576,2.71,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.3996,160934,16073,64302,0,0,80559
ta01,15,15,225,ATSA,11,1456,225363,225000,575,2.8,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.4003,160913,16137,64410,0,0,80366
ta01,15,15,225,ATSA,12,1452,225327,225000,575,2.687,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.4011,160791,16082,64496,0,0,80213
ta01,15,15,225,ATSA,13,1464,225134,225000,573,2.748,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.3998,160803,16121,64291,0,0,80391
ta01,15,15,225,ATSA,14,1360,225158,225000,575,2.697,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.3988,160936,16109,64182,0,0,80645
ta01,15,15,225,ATSA,15,1444,225093,225000,575,2.744,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.4004,160709,16228,64344,0,0,80137
ta01,15,15,225,ATSA,16,1348,225086,225000,575,2.722,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.4007,160667,15923,64379,0,0,80365
ta01,15,15,225,ATSA,17,1474,225097,225000,573,2.671,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.4005,160697,16232,64360,0,0,80105
ta01,15,15,225,ATSA,18,1400,225359,225000,573,2.664,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.4029,160609,15836,64710,0,0,80063
ta01,15,15,225,ATSA,19,1386,225049,225000,574,2.709,rand_lt_st,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:21+00:00,1.3994,160785,16030,64224,0,0,80531
