instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim
ta01,15,15,225,ATSA,0,1457,225304,225000,574,5.458,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.3998,160928,16157,64336,60161,20274,0
ta01,15,15,225,ATSA,1,1474,225257,225000,575,5.44,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.3993,160950,16123,64267,60248,20312,0
ta01,15,15,225,ATSA,2,1643,225194,225000,575,5.502,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.3984,161005,15980,64149,60671,20205,0
ta01,15,15,225,ATSA,3,1415,225301,225000,574,5.416,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.4022,160643,16160,64618,59928,19937,0
ta01,15,15,225,ATSA,4,1469,225179,225000,576,5.461,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.3999,160825,16182,64314,60231,20098,0
ta01,15,15,225,ATSA,5,1433,225020,225000,573,5.543,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.401,160580,16012,64400,60145,20023,0
ta01,15,15,225,ATSA,6,1440,225155,225000,576,5.536,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.3984,160984,16202,64131,60310,20341,0
ta01,15,15,225,ATSA,7,1464,225191,225000,574,5.38,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.4006,160754,16123,64397,60280,19954,0
ta01,15,15,225,ATSA,8,1443,225088,225000,576,5.429,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.3987,160900,16068,64148,60423,20261,0
ta01,15,15,225,ATSA,9,1404,225099,225000,575,5.458,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.3993,160842,16094,64217,60553,19978,0
ta01,15,15,225,ATSA,10,1504,225206,225000,574,5.57,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.4002,160815,16009,64351,60278,20177,0
ta01,15,15,225,ATSA,11,1382,225397,225000,575,5.413,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.3995,161024,16186,64333,60293,20212,0
ta01,15,15,225,ATSA,12,1525,225310,225000,575,5.416,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.4006,160840,16250,64430,60056,20104,0
ta01,15,15,225,ATSA,13,1462,225106,225000,574,5.428,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.399,160880,16095,64186,60301,20298,0
ta01,15,15,225,ATSA,14,1435,225313,225000,575,5.439,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.3989,161031,16133,64242,60253,20403,0
ta01,15,15,225,ATSA,15,1471,225400,225000,573,5.42,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.3997,161010,16155,64350,60508,19997,0
ta01,15,15,225,ATSA,16,1396,225055,225000,574,5.363,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.3987,160870,16225,64145,60297,20203,0
ta01,15,15,225,ATSA,17,1475,225098,225000,573,5.4,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.4007,160671,16137,64387,59929,20218,0
ta01,15,15,225,ATSA,18,1450,225321,225000,574,5.382,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.3994,160988,16176,64293,60332,20187,0
ta01,15,15,225,ATSA,19,1464,225289,225000,575,5.318,rand_lt_st,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:06+00:00,1.4001,160885,16147,64364,60341,20033,0
