instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim
ta01,15,15,225,ATSA,0,1448,225232,225000,732,2.642,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.0999,204737,81990,20455,0,0,102292
ta01,15,15,225,ATSA,1,1492,225090,225000,732,2.687,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.0999,204611,81982,20439,0,0,102190
ta01,15,15,225,ATSA,2,1551,225217,225000,733,2.657,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.0992,204850,81968,20327,0,0,102555
ta01,15,15,225,ATSA,3,1373,225116,225000,730,2.648,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.1006,204506,81625,20570,0,0,102311
ta01,15,15,225,ATSA,4,1449,225128,225000,731,2.608,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.1004,204556,82208,20532,0,0,101816
ta01,15,15,225,ATSA,5,1358,225292,225000,730,2.666,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.1001,204759,81970,20493,0,0,102296
ta01,15,15,225,ATSA,6,1407,225140,225000,732,2.667,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.1006,204530,81136,20570,0,0,102824
ta01,15,15,225,ATSA,7,1543,225274,225000,731,2.647,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.0989,204956,82308,20278,0,0,102370
ta01,15,15,225,ATSA,8,1422,225106,225000,731,2.692,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.0999,204628,82180,20438,0,0,102010
ta01,15,15,225,ATSA,9,1495,225243,225000,731,2.616,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.1001,204716,81677,20487,0,0,102552
ta01,15,15,225,ATSA,10,1475,225134,225000,728,2.593,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.1001,204610,81210,20484,0,0,102916
ta01,15,15,225,ATSA,11,1533,225033,225000,731,2.614,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.0984,204838,82095,20155,0,0,102588
ta01,15,15,225,ATSA,12,1461,225020,225000,727,2.663,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.1005,204443,81688,20537,0,0,102218
ta01,15,15,225,ATSA,13,1472,225058,225000,730,2.689,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.0998,204593,81817,20425,0,0,102351
ta01,15,15,225,ATSA,14,1395,225227,225000,731,2.656,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.1002,204676,82019,20511,0,0,102146
ta01,15,15,225,ATSA,15,1517,225256,225000,730,2.606,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.0998,204771,81915,20445,0,0,102411
ta01,15,15,225,ATSA,16,1366,225089,225000,730,2.626,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.1007,204451,81379,20598,0,0,102474
ta01,15,15,225,ATSA,17,1404,225067,225000,730,2.677,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.0988,204794,82121,20233,0,0,102440
ta01,15,15,225,ATSA,18,1430,225127,225000,731,2.575,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.0998,204655,81780,20432,0,0,102443
ta01,15,15,225,ATSA,19,1371,225186,225000,730,2.651,st_lt_rand,permutation,dimension,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:41+00:00,1.1004,204600,81723,20546,0,0,102331
