instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim
ta01,15,15,225,ATSA,0,1407,225278,225000,733,2.259,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.1002,204723,82137,20515,76572,25499,0
ta01,15,15,225,ATSA,1,1409,225293,225000,733,2.235,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.101,204585,81722,20668,76553,25642,0
ta01,15,15,225,ATSA,2,1570,225277,225000,729,2.272,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.099,204954,82086,20283,76715,25870,0
ta01,15,15,225,ATSA,3,1401,225038,225000,732,2.298,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.0996,204611,81258,20387,77350,25616,0
ta01,15,15,225,ATSA,4,1433,225267,225000,730,2.235,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.0996,204828,82092,20399,76700,25637,0
ta01,15,15,225,ATSA,5,1410,225208,225000,733,2.245,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.1,204699,82074,20469,76527,25629,0
ta01,15,15,225,ATSA,6,1370,225039,225000,731,2.293,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.1003,204482,81820,20517,76592,25553,0
ta01,15,15,225,ATSA,7,1410,225102,225000,731,2.29,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.0989,204798,82127,20264,76973,25434,0
ta01,15,15,225,ATSA,8,1470,225117,225000,733,2.351,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.0998,204653,81926,20424,76254,26049,0
ta01,15,15,225,ATSA,9,1480,225262,225000,730,2.231,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.1001,204737,82224,20485,76544,25484,0
ta01,15,15,225,ATSA,10,1406,225124,225000,729,2.256,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.1014,204370,81531,20714,76748,25377,0
ta01,15,15,225,ATSA,11,1402,225175,225000,731,2.225,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.1006,204558,81412,20577,76709,25860,0
ta01,15,15,225,ATSA,12,1506,225294,225000,731,2.256,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.1005,204677,81590,20577,77031,25479,0
ta01,15,15,225,ATSA,13,1493,225073,225000,730,2.325,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.1007,204437,81599,20596,76999,25243,0
ta01,15,15,225,ATSA,14,1489,225199,225000,732,2.255,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.1005,204605,82100,20554,76289,25662,0
ta01,15,15,225,ATSA,15,1522,225289,225000,732,2.274,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.0997,204825,81760,20424,77048,25593,0
ta01,15,15,225,ATSA,16,1473,225274,225000,729,2.213,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.1014,204500,81579,20734,76677,25510,0
ta01,15,15,225,ATSA,17,1398,225150,225000,730,2.282,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.1,204650,81748,20460,76836,25606,0
ta01,15,15,225,ATSA,18,1477,225113,225000,732,2.259,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.1003,204554,82340,20519,76358,25337,0
ta01,15,15,225,ATSA,19,1440,225155,225000,732,2.272,st_lt_rand,continuous,seed,False,40,0.2,4,10,-5.0,5.0,53421d8,2026-07-16T10:46:26+00:00,1.0997,204698,81867,20417,76683,25731,0
