instance,seed,jobs,cmax,D,wall_seconds
ta01,0,1,1457,225,1.23
ta11,0,1,1715,300,2.103
ta21,0,1,1969,400,4.178
ta31,0,1,2174,450,5.292
ta41,0,1,2505,600,9.396
ta51,0,1,3467,750,17.746
ta61,0,1,3396,1000,34.05
ta71,0,1,6633,2000,194.583
ta01,0,8,1457,225,1.489
ta11,0,8,1715,300,2.576
ta21,0,8,1969,400,4.613
ta31,0,8,2174,450,5.599
ta41,0,8,2505,600,10.069
ta51,0,8,3467,750,17.708
ta61,0,8,3396,1000,33.68
ta71,0,8,6633,2000,198.329
ta01,0,24,1457,225,2.669
ta01,1,24,1474,225,2.655
ta01,2,24,1643,225,2.826
ta11,0,24,1715,300,4.285
ta11,1,24,1724,300,4.33
ta11,2,24,1647,300,4.204
ta21,0,24,1969,400,7.572
ta21,1,24,1936,400,7.46
ta21,2,24,1941,400,7.349
ta31,0,24,2174,450,9.174
ta31,1,24,2042,450,9.425
ta31,2,24,2049,450,8.978
ta41,0,24,2505,600,14.573
ta41,1,24,2467,600,15.31
ta41,2,24,2663,600,15.344
ta51,0,24,3467,750,23.2
ta51,1,24,3272,750,24.821
ta51,2,24,3374,750,23.011
ta61,0,24,3396,1000,39.567
ta61,1,24,3529,1000,42.928
ta61,2,24,3576,1000,39.722
ta71,0,24,6633,2000,203.321
ta71,1,24,6427,2000,200.97
ta71,2,24,6288,2000,202.51
