instance,seed,jobs,cmax,fes_used,iters,N,D,wall_seconds,evals_per_second
ta01,0,1,1457,225304,574,40,225,1.214,185538.8
ta01,1,1,1474,225257,575,40,225,1.204,187019.9
ta01,2,1,1643,225194,575,40,225,1.227,183545.0
ta02,0,1,1388,225304,574,40,225,1.21,186276.9
ta02,1,1,1447,225257,575,40,225,1.207,186645.7
ta02,2,1,1503,225194,575,40,225,1.267,177738.5
ta03,0,1,1436,225304,574,40,225,1.188,189720.1
ta03,1,1,1466,225257,575,40,225,1.184,190284.2
ta03,2,1,1414,225194,575,40,225,1.233,182635.8
ta04,0,1,1458,225304,574,40,225,1.25,180239.6
ta04,1,1,1430,225257,575,40,225,1.222,184382.8
ta04,2,1,1352,225194,575,40,225,1.182,190570.8
ta05,0,1,1539,225304,574,40,225,1.157,194757.0
ta05,1,1,1424,225257,575,40,225,1.268,177595.6
ta05,2,1,1351,225194,575,40,225,1.189,189335.1
ta11,0,1,1715,300312,765,40,300,2.113,142149.4
ta11,1,1,1724,300067,765,40,300,2.161,138835.0
ta11,2,1,1647,300150,764,40,300,2.044,146844.8
ta12,0,1,1677,300312,765,40,300,2.074,144821.2
ta12,1,1,1671,300067,765,40,300,2.097,143064.5
ta12,2,1,1582,300150,764,40,300,2.081,144235.8
ta13,0,1,1641,300312,765,40,300,2.112,142220.5
ta13,1,1,1754,300067,765,40,300,2.016,148863.4
ta13,2,1,1612,300150,764,40,300,2.061,145660.9
ta14,0,1,1761,300312,765,40,300,2.153,139485.2
ta14,1,1,1501,300067,765,40,300,2.131,140827.1
ta14,2,1,1610,300150,764,40,300,2.091,143529.6
ta15,0,1,1702,300312,765,40,300,2.117,141867.6
ta15,1,1,1572,300067,765,40,300,2.076,144508.8
ta15,2,1,1646,300150,764,40,300,2.038,147263.9
ta21,0,1,1969,400184,1022,40,400,4.099,97626.1
ta21,1,1,1936,400028,1019,40,400,4.136,96726.0
ta21,2,1,1941,400384,1020,40,400,4.002,100049.9
ta22,0,1,1965,400184,1022,40,400,4.077,98147.5
ta22,1,1,1989,400028,1019,40,400,4.105,97456.6
ta22,2,1,2037,400384,1020,40,400,4.107,97485.3
ta23,0,1,2098,400184,1022,40,400,4.172,95922.6
ta23,1,1,1915,400028,1019,40,400,4.179,95734.5
ta23,2,1,1974,400384,1020,40,400,4.227,94711.4
ta24,0,1,1876,400184,1022,40,400,4.088,97893.3
ta24,1,1,1950,400028,1019,40,400,4.098,97625.4
ta24,2,1,1987,400384,1020,40,400,3.978,100660.6
ta25,0,1,1907,400184,1022,40,400,4.068,98384.4
ta25,1,1,2002,400028,1019,40,400,4.178,95739.7
ta25,2,1,1913,400384,1020,40,400,3.958,101154.4
ta31,0,1,2174,450031,1145,40,450,5.236,85954.3
ta31,1,1,2042,450254,1147,40,450,5.341,84303.3
ta31,2,1,2049,450081,1150,40,450,4.954,90845.5
ta32,0,1,2220,450031,1145,40,450,5.08,88590.7
ta32,1,1,2196,450254,1147,40,450,5.396,83439.3
ta32,2,1,2245,450081,1150,40,450,5.044,89231.5
