instance,seed,jobs,cmax,fes_used,iters,N,D,wall_seconds,evals_per_second
ta01,0,1,1388,225160,938,40,225,3.952,56974.0
ta11,0,1,1558,300040,1250,40,300,5.622,53373.6
ta21,0,1,1992,400120,1667,40,400,8.767,45637.0
ta31,0,1,2076,450040,1875,40,450,10.532,42729.0
ta41,0,1,2516,600040,2500,40,600,16.58,36191.3
ta51,0,1,3164,750040,3125,40,750,28.205,26592.1
ta61,0,1,3287,1000120,4167,40,1000,48.017,20828.3
ta71,0,1,6180,2000200,8334,40,2000,210.086,9520.9
ta01,0,8,1388,225160,938,40,225,4.041,55713.8
ta11,0,8,1558,300040,1250,40,300,6.06,49513.8
ta21,0,8,1992,400120,1667,40,400,8.977,44571.8
ta31,0,8,2076,450040,1875,40,450,10.834,41541.2
ta41,0,8,2516,600040,2500,40,600,16.963,35374.4
ta51,0,8,3164,750040,3125,40,750,28.353,26453.9
ta61,0,8,3287,1000120,4167,40,1000,47.716,20959.7
ta71,0,8,6180,2000200,8334,40,2000,213.385,9373.7
