instance,seed,jobs,cmax,fes_used,iters,N,D,wall_seconds,evals_per_second
ta01,0,1,1388,225160,938,40,225,4.199,53626.7
ta01,1,1,1362,225160,938,40,225,3.954,56940.0
ta01,2,1,1363,225160,938,40,225,3.929,57314.0
ta02,0,1,1354,225160,938,40,225,3.983,56537.3
ta02,1,1,1384,225160,938,40,225,3.962,56828.7
ta02,2,1,1391,225160,938,40,225,3.917,57482.2
ta03,0,1,1391,225160,938,40,225,3.936,57198.6
ta03,1,1,1341,225160,938,40,225,3.972,56692.7
ta03,2,1,1395,225160,938,40,225,3.994,56375.3
ta04,0,1,1324,225160,938,40,225,3.917,57480.1
ta04,1,1,1355,225160,938,40,225,3.863,58284.6
ta04,2,1,1359,225160,938,40,225,3.91,57588.8
ta05,0,1,1450,225160,938,40,225,3.93,57289.0
ta05,1,1,1363,225160,938,40,225,3.932,57265.2
ta05,2,1,1344,225160,938,40,225,3.881,58015.4
ta11,0,1,1558,300040,1250,40,300,5.912,50747.7
ta11,1,1,1649,300040,1250,40,300,5.77,51995.5
ta11,2,1,1564,300040,1250,40,300,5.816,51585.1
ta12,0,1,1529,300040,1250,40,300,5.836,51411.3
ta12,1,1,1527,300040,1250,40,300,5.911,50758.0
ta12,2,1,1600,300040,1250,40,300,5.938,50524.6
ta13,0,1,1556,300040,1250,40,300,5.953,50398.6
ta13,1,1,1634,300040,1250,40,300,5.8,51731.2
ta13,2,1,1629,300040,1250,40,300,6.056,49547.2
ta14,0,1,1511,300040,1250,40,300,5.938,50528.3
ta14,1,1,1512,300040,1250,40,300,5.881,51016.6
ta14,2,1,1631,300040,1250,40,300,6.104,49151.1
ta15,0,1,1672,300040,1250,40,300,5.991,50080.0
ta15,1,1,1605,300040,1250,40,300,5.867,51141.3
ta15,2,1,1579,300040,1250,40,300,5.913,50739.4
ta21,0,1,1992,400120,1667,40,400,9.334,42864.9
ta21,1,1,1940,400120,1667,40,400,9.108,43932.9
ta21,2,1,1950,400120,1667,40,400,9.283,43104.6
ta22,0,1,1873,400120,1667,40,400,9.224,43379.0
ta22,1,1,1819,400120,1667,40,400,9.52,42028.0
ta22,2,1,1878,400120,1667,40,400,9.526,42004.9
ta23,0,1,1791,400120,1667,40,400,9.507,42087.2
ta23,1,1,1801,400120,1667,40,400,9.598,41688.0
ta23,2,1,1830,400120,1667,40,400,9.599,41682.8
ta24,0,1,1883,400120,1667,40,400,9.74,41080.6
ta24,1,1,1832,400120,1667,40,400,9.818,40752.8
ta24,2,1,1847,400120,1667,40,400,9.702,41241.3
ta25,0,1,1894,400120,1667,40,400,9.701,41246.2
ta25,1,1,1845,400120,1667,40,400,9.672,41370.3
ta25,2,1,1876,400120,1667,40,400,9.343,42826.1
ta31,0,1,2076,450040,1875,40,450,11.272,39925.0
ta31,1,1,2102,450040,1875,40,450,11.125,40453.1
ta31,2,1,2072,450040,1875,40,450,11.536,39013.2
ta32,0,1,2245,450040,1875,40,450,11.341,39682.6
ta32,1,1,2137,450040,1875,40,450,11.225,40093.3
ta32,2,1,2140,450040,1875,40,450,11.41,39443.3
ta33,0,1,2163,450040,1875,40,450,11.414,39428.6
ta33,1,1,2202,450040,1875,40,450,11.237,40048.3
